126,1,0.00125,0.0018
1,2,0.00031,0.0005
2,3,0.00285,0.00261
3,4,0.00143,0.0013
4,5,0.00078,0.00092
5,6,0.00063,0.00074
6,7,0.0012,0.00137
7,8,0.00089,0.00105
8,9,0.00123,0.00145
9,10,0.00087,0.00103
10,11,0.00112,0.00132
11,12,0.00093,0.0011
12,13,0.00065,0.00078
13,14,0.00086,0.00102
14,15,0.0025,0.00296
15,16,0.00342,0.00405
16,17,0.00068,0.0008
17,18,0.00083,0.00098
18,19,0.0012,0.00142
19,20,0.0014,0.00166
1,21,0.0021,0.00249
21,22,0.00086,0.00078
21,23,0.00124,0.00147
23,24,0.00056,0.00051
23,25,0.0014,0.00166
25,26,0.00071,0.00065
25,27,0.00135,0.0016
27,28,0.00065,0.00059
27,29,0.00078,0.00072
27,30,0.00053,0.00048
2,31,0.0023,0.0021
3,32,0.0021,0.00249
32,33,0.00304,0.00278
4,34,0.0047,0.0043
4,35,0.00153,0.00181
35,36,0.00076,0.0007
35,37,0.0012,0.00142
37,38,0.00056,0.00051
37,39,0.00086,0.00079
37,40,0.00105,0.00124
40,41,0.00075,0.00068
40,42,0.00063,0.00058
5,43,0.00124,0.00114
5,44,0.00089,0.00082
5,45,0.00034,0.00031
6,46,0.00106,0.00097
7,47,0.00096,0.00113
47,48,0.00075,0.00069
47,49,0.00103,0.00122
49,50,0.00087,0.0008
49,51,0.00097,0.00115
51,52,0.00113,0.00103
51,53,0.00078,0.00092
53,54,0.00065,0.0006
53,55,0.00121,0.00143
55,56,0.00132,0.00121
56,57,0.00069,0.00063
57,58,0.00079,0.00072
56,59,0.00023,0.00021
57,60,0.00065,0.00061
58,61,0.00057,0.00052
55,62,0.0011,0.0013
62,63,0.00096,0.00088
63,64,0.00211,0.00193
62,65,0.00087,0.00103
63,66,0.00043,0.00041
64,67,0.00056,0.00052
9,68,0.00234,0.00277
68,69,0.00035,0.00034
10,70,0.00113,0.00133
70,71,0.00056,0.00052
70,72,0.00078,0.00092
72,73,0.00065,0.0006
72,74,0.00089,0.00082
72,75,0.00056,0.00052
72,76,0.00089,0.00092
11,77,0.00135,0.00124
12,78,0.00096,0.00088
78,79,0.00068,0.00062
13,80,0.0012,0.0011
80,81,0.00056,0.00052
14,82,0.00087,0.00103
82,83,0.00142,0.0013
82,84,0.00086,0.00102
84,85,0.00076,0.0007
85,86,0.00045,0.00042
85,87,0.00069,0.00063
84,88,0.00105,0.00096
84,89,0.00088,0.00105
89,90,0.00065,0.0006
90,91,0.00105,0.00096
90,92,0.00037,0.00034
91,93,0.00057,0.00052
89,94,0.00078,0.00092
94,95,0.00093,0.00086
94,96,0.00113,0.00134
96,97,0.00067,0.00061
96,98,0.00088,0.00081
14,99,0.00134,0.00158
99,100,0.00053,0.00049
99,101,0.00086,0.00102
101,102,0.00094,0.00086
102,103,0.0013,0.00119
102,104,0.00059,0.00054
103,105,0.00088,0.00081
101,106,0.00153,0.00181
106,107,0.00069,0.00063
106,108,0.00075,0.00069
15,109,0.00109,0.001
16,110,0.0021,0.00192
17,111,0.0013,0.00119
111,112,0.00056,0.00052
18,113,0.00148,0.00136
18,114,0.00087,0.00103
114,115,0.00171,0.00157
115,116,0.00092,0.00084
115,117,0.00121,0.00111
116,118,0.00062,0.00057
114,119,0.00135,0.0016
119,120,0.0012,0.0011
119,121,0.00221,0.00262
121,122,0.00067,0.00062
121,123,0.00083,0.00076
19,124,0.00056,0.00052
8,125,0.00462,0.00423
0,126,0.0,0.0

