# 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38
1 0 1.05 1.0497 1.04914 1.04906 1.04791 1.04629 1.04603 1.04574 1.04491 1.0448 1.04468 1.04361 1.04322 1.0428 1.0425 1.04187 1.04173 1.04121 1.04029 1.03971 1.03949 1.03907 1.03907 1.03907 1.03907 1.03907 1.03907 1.03907 1.03907 1.03907 1.03907 1.03907 1.03907 1.03907 1.03907 1.03907 1.03907 1.03907
2 0.147054 1.04992 1.04948 1.0489 1.04853 1.04696 1.04527 1.04494 1.04444 1.04358 1.04344 1.04305 1.04188 1.04138 1.04088 1.04042 1.03976 1.03948 1.03872 1.03765 1.03702 1.03669 1.03627 1.03627 1.03627 1.03627 1.03627 1.03627 1.03627 1.03627 1.03627 1.03627 1.03627 1.03627 1.03627 1.03627 1.03627 1.03627 1.03627
3 0 1.04872 1.04827 1.04587 1.04291 1.0408 1.0385 1.03643 1.03568 1.03458 1.03215 1.03093 1.02884 1.02771 1.02587 1.0251 1.02331 1.02106 1.01907 1.01752 1.01598 1.01564 1.01521 1.01521 1.01521 1.01521 1.01521 1.01521 1.01521 1.01521 1.0152 1.0152 1.0152 1.0152 1.0152 1.0152 1.0152 1.0152 1.0152
4 0 1.04872 1.04735 1.04365 1.04042 1.038 1.03483 1.03263 1.03176 1.02949 1.02664 1.02496 1.02254 1.02073 1.01873 1.01739 1.01459 1.01171 1.00947 1.00745 1.00589 1.00555 1.00512 1.00511 1.00511 1.00511 1.00511 1.00511 1.00511 1.00511 1.00511 1.00511 1.00511 1.00511 1.00511 1.00511 1.00511 1.00511 1.00511
5 0 1.04851 1.0464 1.04254 1.03914 1.03622 1.03297 1.0307 1.02917 1.02667 1.02354 1.02168 1.01887 1.01697 1.01464 1.01273 1.00957 1.00654 1.00403 1.002 1.00043 1.00009 0.999652 0.99965 0.999648 0.999646 0.999645 0.999644 0.999643 0.999643 0.999643 0.999642 0.999642 0.999642 0.999642 0.999642 0.999642 0.999642 0.999642
6 0.398246 1.04792 1.04578 1.04192 1.03811 1.03513 1.03182 1.02903 1.02731 1.02459 1.02131 1.01914 1.01625 1.01409 1.01129 1.0091 1.00582 1.00257 1.00005 0.998011 0.996438 0.996096 0.995654 0.995652 0.99565 0.995648 0.995647 0.995646 0.995645 0.995645 0.995644 0.995644 0.995644 0.995644 0.995644 0.995644 0.995644 0.995643 0.995643
7 0 1.04704 1.0449 1.04028 1.03635 1.03327 1.02895 1.02579 1.02367 1.02067 1.01679 1.01447 1.01109 1.00805 1.0047 1.00229 0.998596 0.995322 0.992785 0.990729 0.989144 0.988799 0.988354 0.988351 0.988349 0.988348 0.988346 0.988345 0.988344 0.988344 0.988343 0.988343 0.988343 0.988343 0.988343 0.988343 0.988343 0.988343 0.988343
8 0 1.04704 1.04433 1.03963 1.03563 1.0318 1.02721 1.02374 1.02142 1.01797 1.01399 1.0113 1.00726 1.00381 1.0003 0.997583 0.993867 0.990577 0.988028 0.985962 0.984369 0.984023 0.983575 0.983572 0.98357 0.983568 0.983567 0.983566 0.983565 0.983565 0.983564 0.983564 0.983564 0.983563 0.983563 0.983563 0.983563 0.983563 0.983563
9 0.296816 1.04635 1.04364 1.03885 1.0339 1.0297 1.02502 1.02141 1.01856 1.01497 1.01048 1.00689 1.00228 0.998605 0.994667 0.991936 0.988198 0.984889 0.982325 0.980248 0.978645 0.978296 0.977846 0.977843 0.977841 0.977839 0.977838 0.977837 0.977836 0.977835 0.977835 0.977834 0.977834 0.977834 0.977834 0.977834 0.977834 0.977834 0.977834
10 0 1.04592 1.04315 1.03769 1.03248 1.02821 1.02343 1.01945 1.01651 1.01255 1.00742 1.00343 0.998654 0.99468 0.990726 0.987984 0.984231 0.980909 0.978335 0.976248 0.974639 0.974289 0.973837 0.973834 0.973832 0.97383 0.973828 0.973827 0.973826 0.973826 0.973825 0.973825 0.973825 0.973825 0.973825 0.973824 0.973824 0.973824 0.973824
